,district,12th_enrollment,12th_number_of_test_takers,%_scores_greater>=21,school_year_expenditure,average_daily_attendance,daily_expenditure,enrollment_k_thru_12,num_students_eligible_for_frpm,percentage_eligible_for_frpm
0,Alameda Unified,919.0,155.0,86.45,117225882.5,8968.85,13070.335940505192,11260,3412,30.30195381882771
1,Albany City Unified,307.0,58.0,87.93,46611059.59,3544.52,13150.175366481217,3682,758,20.586637696903857
2,Castro Valley Unified,737.0,106.0,77.36,102239937.34,8940.2,11435.978763338628,9269,2214,23.886071852411263
3,Fremont Unified,2537.0,511.0,92.56,382169476.39,33966.73,11251.288434005863,35544,7023,19.75860904794058
4,Hayward Unified,1601.0,256.0,35.94,266964086.73,18755.2,14234.137024931752,22376,15620,69.80693600286021
5,Livermore Valley Joint Unified,1128.0,249.0,80.72,158623654.06,13142.04,12069.941505276198,13738,3417,24.872616101324795
6,Newark Unified,460.0,31.0,70.97,66780274.76,5552.86,12026.284610092818,5758,2803,48.68009725599166
7,New Haven Unified,1043.0,132.0,68.18,124186922.85,10017.51,12396.985163977874,11281,5100,45.20875808882192
8,Oakland Unified,3663.0,809.0,34.49,538133451.77,32801.87,16405.572358222256,50202,36625,72.9552607465838
9,San Leandro Unified,754.0,78.0,56.41,106671109.38,8472.52,12590.245804081902,8926,5523,61.87542012099485
10,San Lorenzo Unified,1099.0,189.0,48.68,129723029.06,9643.82,13451.415420445426,11256,7087,62.96197583511016
11,Dublin Unified,695.0,216.0,86.57,122537246.11,11769.85,10411.113659902207,12090,1052,8.70140612076096
12,Pleasanton Unified,1251.0,476.0,91.18,165366882.26,14502.94,11402.300654901695,14978,1331,8.886366671117639
13,Amador County Unified,290.0,37.0,78.38,36092488.9,3775.31,9560.13914089174,3962,1653,41.7213528520949
14,Chico Unified,1175.0,137.0,72.26,145844464.85,11783.23,12377.290848943796,14365,6691,46.57848938391925
15,Oroville Union High,521.0,33.0,39.39,27856421.22,1981.0,14061.797688036344,2196,1656,75.40983606557377
16,Paradise Unified,328.0,23.0,73.91,39503177.92,3152.85,12529.355319790033,4154,2686,64.6605681271064
17,Gridley Unified,175.0,15.0,60.0,23369909.91,1981.06,11796.669414353932,2083,1533,73.59577532405184
18,Calaveras Unified,216.0,19.0,84.21,31919226.42,2644.37,12070.635508646674,2814,1571,55.828002842928214
19,Pierce Joint Unified,107.0,16.0,31.25,15109109.81,1415.63,10673.064155181792,1479,1046,70.72346179851252
20,Acalanes Union High,1408.0,539.0,90.35,80123902.3,5426.46,14765.409180202194,5683,374,6.581031145521732
21,Antioch Unified,1543.0,117.0,41.88,205569457.13,15156.59,13563.041365505038,17183,11874,69.10318337892103
22,Liberty Union High,2138.0,284.0,64.44,90972618.34,7762.41,11719.63582701764,8320,2345,28.185096153846157
23,Martinez Unified,349.0,42.0,73.81,45252516.04,3935.66,11498.075555307116,4164,1096,26.320845341018252
24,Mt. Diablo Unified,2145.0,323.0,74.61,378275568.53,29298.72,12910.99298979614,31013,14471,46.661077612614065
25,Pittsburg Unified,840.0,155.0,29.03,140830835.49,10723.85,13132.488377774773,11345,8072,71.15028646981048
26,West Contra Costa Unified,2520.0,475.0,26.74,356728761.91,26406.71,13509.019560179971,31760,22272,70.12594458438286
27,San Ramon Valley Unified,2652.0,1077.0,89.97,339618872.5,31055.22,10935.967367160818,32138,1822,5.669301138838758
28,El Dorado Union High,1609.0,403.0,79.9,77743140.76,6299.68,12340.807907703249,6739,1342,19.913933818073897
29,Lake Tahoe Unified,275.0,54.0,59.26,48032847.67,3590.02,13379.548768530538,3872,2185,56.43078512396694
30,Clovis Unified,3305.0,479.0,74.74,445849473.76,41008.48,10872.128734349577,43264,19008,43.934911242603555
31,Fresno Unified,4593.0,574.0,35.19,910693019.62,66761.96,13640.896996133724,73249,63681,86.93770563420661
32,Kingsburg Joint Union High,276.0,41.0,63.41,13772119.34,1099.16,12529.676607591251,1167,706,60.49700085689803
33,Kings Canyon Joint Unified,619.0,169.0,20.12,117294184.14,9081.53,12915.68536799416,9865,8352,84.66294982260517
34,Parlier Unified,232.0,33.0,24.24,43396409.98,3315.64,13088.396201035093,3471,3407,98.15615096513973
35,Sanger Unified,850.0,62.0,43.55,126812104.77,10417.61,12172.85968374704,12305,8112,65.92442096708655
36,Firebaugh-Las Deltas Unified,170.0,31.0,9.68,30060423.62,2155.56,13945.52859581733,2240,2032,90.71428571428571
37,Central Unified,1096.0,37.0,54.05,174390715.01,14932.98,11678.225981016514,15881,11641,73.30142938102135
38,Kerman Unified,416.0,38.0,47.37,55517150.47,5018.86,11061.705341452043,5215,4223,80.97794822627037
39,Mendota Unified,234.0,82.0,8.54,40020598.57,3330.32,12017.042977851977,3543,3469,97.91137454134913
40,Golden Plains Unified,125.0,19.0,0.0,23921080.97,1546.63,15466.582809075213,1649,1542,93.51121892055791
41,Riverdale Joint Unified,127.0,50.0,14.0,20726992.18,1506.65,13757.00539607739,1563,1272,81.38195777351248
46,Orland Joint Unified,177.0,37.0,45.95,25846507.24,2133.82,12112.78703920668,2263,1714,75.74016791869201
47,Hamilton Unified,90.0,30.0,23.33,7881946.74,687.79,11459.815844952676,714,557,78.01120448179272
48,Northern Humboldt Union High,424.0,49.0,87.76,20452052.57,1406.31,14543.061323605749,1787,739,41.354224958030215
49,Fortuna Union High,274.0,24.0,54.17,13456258.65,1011.23,13306.823027402274,1107,541,48.870822041553744
50,Brawley Union High,471.0,115.0,29.57,25381776.4,1843.55,13767.88066502129,1943,1479,76.11940298507463
51,Calexico Unified,879.0,90.0,38.89,117889165.07,8786.56,13416.987429665307,9246,7965,86.14536015574302
52,Calipatria Unified,91.0,19.0,47.37,15757347.24,1080.21,14587.299913905628,1136,946,83.27464788732394
53,Central Union High,958.0,172.0,33.72,52303844.74,3952.8,13232.099964582068,4150,3097,74.62650602409639
54,Holtville Unified,151.0,29.0,31.03,19498582.91,1509.37,12918.358593320392,1578,1139,72.17997465145754
55,Imperial Unified,279.0,65.0,53.85,46140787.99,4117.91,11204.904427245861,4270,2124,49.742388758782205
56,Bishop Unified,158.0,27.0,70.37,22035265.35,1862.56,11830.633831930249,1978,1037,52.42669362992922
57,Delano Joint Union High,1004.0,194.0,35.57,56962787.65,4028.35,14140.476286817184,4219,3858,91.4434700165916
58,Kern High,10175.0,741.0,49.39,515782697.33,37677.86,13689.27792953209,40340,28186,69.87109568666337
59,Mojave Unified,143.0,31.0,9.68,32978837.03,2559.87,12883.012430318728,2800,2451,87.53571428571428
