,district,total_enrollment,total_test_takers,percent_meeting_both_benchmarks,school_year_expenditure,average_daily_attendance,daily_expenditure,enrollment_k_thru_12,num_students_eligible_for_frpm,percentage_eligible_for_frpm
0,Fremont Unified,5092.0,2241.0,88.79964301651049,382169476.39,33966.73,11251.288434005863,35544,7023,19.75860904794058
1,San Leandro Unified,1449.0,651.0,30.568356374807987,106671109.38,8472.52,12590.245804081902,8926,5523,61.87542012099485
2,Fresno Unified,9344.0,4065.0,24.698646986469864,910693019.62,66761.96,13640.896996133724,73249,63681,86.93770563420661
3,Mendota Unified,431.0,145.0,20.689655172413794,40020598.57,3330.32,12017.042977851977,3543,3469,97.91137454134913
4,Wasco Union High,869.0,213.0,26.291079812206572,21409174.16,1750.19,12232.485707266069,1867,1428,76.48634172469202
5,Lynwood Unified,2106.0,1091.0,13.84051329055912,172236162.51,12790.36,13466.091846515656,13802,12762,92.46486016519346
6,Whittier Union High,5837.0,2026.0,48.420533070088844,158246087.94,10868.3,14560.334913463928,11404,8148,71.44861452122062
7,Rowland Unified,2286.0,718.0,56.26740947075209,165022747.51,12728.74,12964.578387962987,13951,10508,75.32076553652068
8,Chaffey Joint Union High,11877.0,4689.0,50.58647899338878,293120630.13,22608.79,12964.89684454586,23883,14619,61.210903152870245
9,Apple Valley Unified,2101.0,679.0,38.144329896907216,157161110.73,12378.06,12696.74817620855,14643,9957,67.99836099160008
10,Coronado Unified,588.0,319.0,83.38557993730407,39984983.8,2941.52,13593.306793766487,3057,302,9.87896630683677
11,Grossmont Union High,10552.0,3165.0,64.45497630331754,226587296.33,15397.78,14715.582137814672,21342,12280,57.53912473057821
12,Tracy Joint Unified,3136.0,836.0,59.33014354066986,162366066.49,13971.6,11621.150511752412,15906,8449,53.11832013076826
13,Milpitas Unified,1656.0,714.0,80.812324929972,115757306.08,9951.26,11632.427057478148,10172,3181,31.27211954384585
14,Waterford Unified,656.0,113.0,45.13274336283186,22419982.45,1726.74,12983.994376686704,3403,2249,66.08874522480164
15,Red Bluff Joint Union High,793.0,116.0,66.37931034482759,21509751.29,1538.1,13984.624725310448,1643,987,60.073037127206334
16,Livermore Valley Joint Unified,2247.0,694.0,81.12391930835734,158623654.06,13142.04,12069.941505276198,13738,3417,24.872616101324795
17,El Dorado Union High,3257.0,1146.0,83.24607329842932,77743140.76,6299.68,12340.807907703249,6739,1342,19.913933818073897
18,Sierra Unified,197.0,51.0,56.86274509803921,17211194.94,1194.08,14413.770383893878,1271,606,47.67899291896145
19,Holtville Unified,288.0,94.0,38.297872340425535,19498582.91,1509.37,12918.358593320392,1578,1139,72.17997465145754
20,Las Virgenes Unified,1970.0,727.0,79.6423658872077,120746307.83,10663.53,11323.296115826559,11138,1327,11.914167714131802
21,San Marino Unified,540.0,284.0,94.36619718309859,40602014.46,2903.36,13984.491919706823,2967,211,7.111560498820357
22,Chawanakee Unified,310.0,94.0,32.97872340425532,9028332.83,693.51,13018.316722181367,1326,675,50.90497737556561
23,Ukiah Unified,1011.0,192.0,66.66666666666667,75204715.36,5592.26,13448.000514997513,6606,5101,77.217680896155
24,Willits Unified,253.0,55.0,32.72727272727273,20169877.18,1402.11,14385.374314426115,1847,1331,72.06280454791553
25,Delhi Unified,336.0,141.0,19.148936170212767,32689459.85,2465.1,13260.90619041824,2581,2198,85.1607903913212
26,Monterey Peninsula Unified,1662.0,786.0,37.659033078880405,117786078.57,9011.46,13070.69870697978,10658,6806,63.85813473447176
27,Temecula Valley Unified,4870.0,2132.0,65.38461538461539,282842860.92,26622.22,10624.31536212983,29609,8172,27.599716302475596
28,Murrieta Valley Unified,4256.0,1700.0,59.23529411764706,239474229.09,22088.73,10841.4666252881,23251,8359,35.95114188637048
29,Elk Grove Unified,10224.0,3972.0,61.43001007049345,733618038.49,60022.32,12222.420567715477,63917,34257,53.59606990315565
30,Yucaipa-Calimesa Joint Unified,1473.0,432.0,61.574074074074076,91353178.14,7855.5,11629.199686843613,9982,5060,50.69124423963134
31,Carlsbad Unified,1801.0,774.0,80.23255813953489,121676852.86,10913.85,11148.847827302006,11428,2654,23.223661183059154
32,Yreka Union High,304.0,73.0,57.534246575342465,9151212.53,585.18,15638.286561399911,629,299,47.53577106518283
33,Live Oak Unified,296.0,89.0,37.07865168539326,21008591.37,1766.13,11895.268960948515,1862,1493,80.18259935553169
38,Alameda Unified,1790.0,812.0,70.19704433497537,117225882.5,8968.85,13070.335940505192,11260,3412,30.30195381882771
39,Fowler Unified,380.0,170.0,25.88235294117647,31435016.84,2482.44,12662.951305973154,2608,2013,77.18558282208589
40,Golden Plains Unified,234.0,131.0,0.7633587786259542,23921080.97,1546.63,15466.582809075213,1649,1542,93.51121892055791
41,Caruthers Unified,325.0,124.0,20.967741935483872,18017826.49,1443.35,12483.338407177745,1508,1342,88.9920424403183
42,Northern Humboldt Union High,822.0,227.0,69.16299559471365,20452052.57,1406.31,14543.061323605749,1787,739,41.354224958030215
43,Mojave Unified,324.0,48.0,37.5,32978837.03,2559.87,12883.012430318728,2800,2451,87.53571428571428
44,Muroc Joint Unified,230.0,53.0,66.0377358490566,19221351.13,1688.71,11382.268790970622,1793,570,31.790295593976577
45,Monrovia Unified,886.0,288.0,51.041666666666664,67353692.04,5149.18,13080.469519418626,5442,3112,57.1848585079015
46,Montebello Unified,4499.0,1223.0,36.71300081766149,318976518.95,23871.22,13362.388639960587,25409,20963,82.50226297768506
47,Pomona Unified,3617.0,1184.0,30.99662162162162,292839808.22,21581.65,13568.925833752286,23185,20690,89.2387319387535
48,Salinas Union High,5328.0,1311.0,39.66437833714721,190887922.52,14887.63,12821.914738611855,15818,11535,72.92325199140221
49,Tustin Unified,3955.0,1682.0,67.95481569560047,246274739.01,22921.38,10744.324251419417,23768,9242,38.88421406933693
50,Rocklin Unified,2387.0,971.0,82.38928939237898,127901296.11,11589.79,11035.687109947634,14088,2410,17.106757524134014
51,Alvord Unified,2947.0,1559.0,25.336754329698525,233776019.91,17539.61,13328.461688144718,18504,14189,76.68071768266321
